piam_variable;Variable;factor;weight;spatial
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Pasture Budget|Inputs|+|Fertilizer (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Emissions|CO2|Land|+|Land-use Change (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR (Mt CO2/yr);Emissions|CO2|AFOLU|Afforestation (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR (Mt CO2/yr);Emissions|CO2|AFOLU|Afforestation (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Deforestation (Mt CO2/yr);Emissions|CO2|AFOLU|Deforestation (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|Timber Plantations (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|Secondary Forest (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Wood Harvest (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Timber (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Forest degradation (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Peatland (Mt CO2/yr);Emissions|CO2|AFOLU|Peatland (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|Other Land (Mt CO2/yr);Emissions|CO2|AFOLU|Other (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover (Mt CO2/yr);Emissions|CO2|AFOLU|Other (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Soil (Mt CO2/yr);Emissions|CO2|AFOLU|Other (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Other land conversion (Mt CO2/yr);Emissions|CO2|AFOLU|Other (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Residual (Mt CO2/yr);Emissions|CO2|AFOLU|Other (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues (Mt CO2/yr);Emissions|CO2|AFOLU|Biomass Burning (Mt CO2/yr);1;NULL;reg+glo
Emissions|CH4|Land (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Agriculture (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Biomass Burning (Mt CH4/yr);Emissions|CH4|AFOLU|Biomass Burning (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Peatland (Mt CH4/yr);Emissions|CH4|AFOLU|Land (Mt CH4/yr);1;NULL;reg+glo
